frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
103,1,2055.8308607295917 1103.7082935081453 2558.3034570929035 1546.2693788624565,2214.881103515625 1381.6710205078125 2426.974365234375 1464.453369140625,0.486756294965744,AP05JEO,0.7874008125624062
9,3,710.6083842894883 1419.0849535205962 1416.7056917357986 2066.547212644932,900.8558959960938 1820.4906005859375 1207.998046875 1946.8824462890625,0.6944909691810608,NA13NRU,0.7949269860807731
2,5,2197.5956603161326 1172.2418867704275 2786.303768453083 1750.1344413556733,2405.095703125 1554.22900390625 2589.23583984375 1652.4888916015625,0.6426927447319031,HU51VSU,0.34552946433228243
111,6,925.9900765756005 1477.4403740053785 1661.7875322879254 2057.2512252299225,1168.4315185546875 1827.2718505859375 1398.67529296875 1941.673583984375,0.6227322220802307,GY15OGJ,0.7364840077667699
183,8,980.6804065346095 1301.949081625061 1541.9502974341458 1789.7213131904896,1166.35302734375 1587.2127685546875 1350.5802001953125 1687.06201171875,0.6362834572792053,KH05ZZK,0.8758323667166076
289,16,839.8621486171203 1588.8362840721556 1522.3591433646754 2155.079122458032,1062.657470703125 1983.239501953125 1287.5479736328125 2092.346923828125,0.7121457457542419,FJ14ZHY,0.6566504393263598
136,34,2245.3221203571575 1667.9504987472415 2990.5725437212013 2162.2729494607015,2504.958984375 2020.0577392578125 2757.6181640625 2149.44189453125,0.7072045803070068,LM13VCV,0.5520980009493508
225,58,2254.18461864993 1329.9339384391856 2838.553948936356 1820.2206552970206,2467.43994140625 1625.82470703125 2645.845458984375 1717.549560546875,0.32062390446662903,VE02FXD,0.10630179651284559
304,299,2365.516883620829 1326.8191726734094 2998.9276652369076 1895.2610225772169,2592.17236328125 1663.8740234375 2780.7548828125 1757.2852783203125,0.6595448851585388,EY61NBG,0.8776102165245457
676,319,2256.8636453985596 1486.01718043571 2943.4347110998083 2043.4672738376457,2485.96923828125 1855.4945068359375 2704.415771484375 1958.6436767578125,0.6442198157310486,AF65JKV,0.9377776864803835
438,331,943.9900241330613 1321.855521336551 1475.742778834386 1708.84755838766,1106.813720703125 1581.342041015625 1290.1854248046875 1683.861328125,0.4821828305721283,NA54KGJ,0.5055560600832333
544,345,899.8681505848926 1323.459605143555 1560.5456124154716 1934.541974434952,1113.4786376953125 1694.3175048828125 1338.1241455078125 1803.521240234375,0.7163327932357788,AK64DMV,0.9252591182109012
804,366,2308.259280213024 1466.1750921785626 2912.069741980242 2013.1816789915736,2519.694091796875 1807.6915283203125 2714.96728515625 1912.9039306640625,0.6611375212669373,GJ06EPD,0.775377571588806
410,380,665.816230706608 1639.2251620468735 1410.3779719557838 2160.9509915549775,899.0886840820312 2054.814697265625 1136.797119140625 2160.0,0.6359967589378357,AV08HVF,0.5899408036322218
633,385,3270.5692859676737 1279.5087923912981 3846.344367218693 1807.6189276945736,3546.199462890625 1642.747314453125 3712.9462890625 1729.6356201171875,0.3412254750728607,OU62HYU,0.7806074719762588
405,470,2256.771854003531 914.121538537001 2996.3184515123257 1799.0074556270915,2573.199462890625 1599.4256591796875 2741.398681640625 1669.10498046875,0.5895155668258667,BG65USJ,0.7185612189797802
397,515,2260.301053096244 876.3028163742081 2972.753475883941 1776.7693036411208,2570.200927734375 1555.707275390625 2731.475830078125 1615.58056640625,0.34271782636642456,BC65USJ,0.46317917313983986
422,527,2298.0659607715133 969.5557216996797 3029.222733095615 1928.443295126742,2578.76025390625 1689.80712890625 2769.44482421875 1773.6005859375,0.6661132574081421,BG65USJ,0.6829062279014204
435,556,2301.7784546534012 1002.5640719408871 3088.594434119883 2004.1312031331868,2593.609130859375 1770.896484375 2786.01513671875 1864.13232421875,0.6249856352806091,BG65USJ,0.8964427952454542
462,591,2280.329240459217 1132.310765516497 3168.4792077602374 2149.853351346696,2594.794189453125 1976.14453125 2816.72607421875 2081.09912109375,0.6594960689544678,BC65USJ,0.7807640104533322
464,598,2263.862761313786 1146.203830595243 3147.92758635905 2140.08115159878,2593.128662109375 1989.242431640625 2814.3955078125 2087.491943359375,0.709213137626648,GL65USJ,0.2832357639133991
914,604,2327.693937300013 1551.0488033240233 3040.8851051223855 2109.568654113864,2601.369140625 1916.0621337890625 2792.23388671875 2022.7049560546875,0.6539557576179504,DA07CLX,0.945267292844201
632,614,2338.030314754877 1664.2256546414785 3068.0904606016234 2160.0838165962246,2598.122314453125 2054.003173828125 2818.906005859375 2160.0,0.6892701387405396,EF10DZT,0.824846692865197
755,657,797.5574060976289 1567.7462744637394 1510.6124132143566 2154.797696590827,1013.70263671875 2028.5189208984375 1253.431640625 2132.100830078125,0.47710710763931274,KH06KSU,0.6049147851846404
820,784,826.1647727712192 1416.1258872439753 1478.183204808693 1975.836934463212,1053.968017578125 1768.5880126953125 1243.7476806640625 1863.2872314453125,0.6473936438560486,LN15ZZC,0.8914287621980487
872,918,2165.05126413408 894.5579519645532 2713.2210217770635 1423.691927007498,2345.76123046875 1264.67919921875 2502.812255859375 1354.9769287109375,0.2778377830982208,EV06WOG,0.44311841499846816
863,982,2163.6863220863997 875.9568597652099 2695.1402929159476 1394.4448778010435,2352.04345703125 1247.185546875 2485.43798828125 1326.635009765625,0.32415440678596497,EV06WUS,0.11220574129376581
884,998,2140.1334474651494 909.7077554534246 2696.145455658975 1467.9247911133268,2364.91796875 1308.229248046875 2485.527099609375 1383.2059326171875,0.47403448820114136,EY06VOS,0.1170008479960823
967,1008,2072.011524949131 1130.1604099299102 2751.1283940159474 1850.3672052162992,2314.177978515625 1625.81298828125 2489.98388671875 1723.858642578125,0.6151824593544006,EY05VVS,0.7629985682742239
1113,1016,2115.9068924094554 1155.5946463948715 2845.696980126326 1835.687218031663,2381.0224609375 1633.0416259765625 2557.740966796875 1726.02001953125,0.6133580803871155,BP63LYH,0.9694626769633082
1010,1106,2101.289974918489 1348.0133343363175 2877.5566396879676 2143.377054127711,2376.67919921875 1906.443603515625 2585.58935546875 2004.57275390625,0.6621777415275574,EY09VMS,0.7422276231550288
1391,1122,2238.043987660306 1350.3883817172716 2867.3738547360244 1932.5006005669404,2458.7451171875 1744.0946044921875 2676.73583984375 1846.8782958984375,0.7013939023017883,LP14LJA,0.8311360323903666
1339,1255,630.8508877070003 1621.470063943933 1456.1451647974818 2151.235546553613,924.9647827148438 1992.6072998046875 1202.172119140625 2125.631103515625,0.49467024207115173,UI61PZS,0.11048747539261744
1280,1263,2125.5190542815576 1518.9139270098344 2844.4936433516946 2095.175168392313,2400.398681640625 1888.7069091796875 2612.007568359375 1992.15380859375,0.6995205283164978,NG65ZFX,0.7868238866249019
1691,1469,835.5858247345207 1324.2108633177127 1489.7133133361697 1916.7986257985272,1085.8447265625 1723.8780517578125 1260.7259521484375 1814.0230712890625,0.4974137246608734,CE61LYL,0.8009517732437231
1321,1471,1021.3049368496794 897.9282457027927 1661.0434723159156 1638.6658359166868,1224.1922607421875 1429.0784912109375 1398.163330078125 1525.4739990234375,0.2925213873386383,HL64OGX,0.532925162297915
1353,1582,910.4052501206311 1120.8056518595988 1623.97625134979 1809.0486793561633,1159.9219970703125 1588.388671875 1337.0328369140625 1679.961181640625,0.6111292839050293,NL64OGX,0.8781079068568295
1416,1655,662.140543562103 1414.3994802578013 1510.1460132262425 2149.0664356411075,977.9529418945312 1986.771728515625 1208.66650390625 2099.712158203125,0.6759093403816223,NL64OGX,0.5422141833916709
1791,1713,2255.8238260436265 1128.217122989021 2751.541479788396 1523.8054140891145,2417.146728515625 1372.91650390625 2600.04931640625 1469.8697509765625,0.6807848811149597,SC56DYP,0.8365277307738397
1635,1747,637.1644929901382 1635.342292843924 1404.9870940127685 2157.1149916018826,867.6632690429688 2037.6468505859375 1109.3187255859375 2152.75830078125,0.6827511191368103,OU06XRO,0.4048468072310087
